Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
FSR 14                        ;Oph  ;16 55 44.4 -15 59 42.0;IR    ;OC   ;   16.80;   834; 0.920; 9.100;MWSC 2489                                                                                                         ;
SAI 24                        ;Cas  ;02 59 27.6 +60 33 00  ;Op    ;OC   ;   13.80;  1000; 0.500; 7.200;MWSC 249                                                                                                          ;
Trumpler 24                   ;Sco  ;16 57 00.0 -40 40 00.1;Op    ;OB   ;   60.00;  1138; 0.418; 6.919;MWSC 2497, Collinder 316, Harvard 12                                                                              ;Multicenter association
NGC 6250                      ;Ara  ;16 57 57.6 -45 57 00.0;Op    ;OC   ;   30.60;   940; 0.390; 7.420;MWSC 2500                                                                                                         ;
NGC 6253                      ;Ara  ;16 59 04.8 -52 42 00.0;Op    ;OC   ;   21.60;  1511; 0.200; 9.700;MWSC 2502                                                                                                         ;
ASCC 86                       ;Ara  ;17 02 14.9 -58 58 12.0;Op    ;OB?  ;   60.00;   738; 0.190; 8.050;MWSC 2513, Alessi-Teutsch 12                                                                                      ;B-association
ASCC 87                       ;Oph  ;17 03 00.0 -28 27 00.0;Op    ;OC   ;   36.00;   838; 0.260; 8.550;MWSC 2520                                                                                                         ;
Harvard 13                    ;Ara  ;17 03 51.1 -48 04 58.8;Op    ;OC   ;   13.20;  3612; 0.660; 9.290;MWSC 2523                                                                                                         ;
[DBSB2003] 104                ;Ara  ;17 03 59.3 -51 05 24.0;IR    ;OC   ;   13.20;   813; 0.100; 8.370;MWSC 2524, Alessi 86, Sco R2                                                                                      ;
NGC 6281                      ;Sco  ;17 04 40.8 -37 58 48.0;Op    ;OC   ;   38.40;   512; 0.190; 8.500;MWSC 2530                                                                                                         ;
[ME95] Cl 4                   ;Sco  ;17 06 50.4 -35 34 48.0;Op    ;OC   ;   64.80;  1297; 0.730; 7.000;MWSC 2536, ASCC 88                                                                                                ;
Dol-Dzim 7                    ;Her  ;17 10 36.0 +15 31 59.9;Op    ;OC?  ;   20.00;  1140; 0.130; 9.300;MWSC 2541                                                                                                         ;
Sco OB4                       ;Sco  ;17 12 36.0 -33 21 18.0;Op    ;OB   ;   94.20;  1082; 0.310; 6.820;MWSC 2546, COCD 393, Ass-69                                                                                       ;
BH 221                        ;Sco  ;17 18 39.6 -32 19 48.0;Op    ;OC   ;   24.00;   807; 0.200; 7.800;MWSC 2563                                                                                                         ;
BH 223                        ;Sco  ;17 20 40.8 -35 52 58.8;Op    ;OC   ;    8.40;   895; 0.750; 8.450;MWSC 2575                                                                                                         ;
Alessi 24                     ;Ara  ;17 23 20.4 -62 39 00  ;Op    ;OB?  ;   90.00;   567; 0.250; 7.000;MWSC 2582, ASCC 89                                                                                                ;B-association
Ruprecht 123                  ;Sco  ;17 23 31.2 -37 55 30.0;Op    ;OC   ;   18.60;   929; 0.190; 8.100;MWSC 2584                                                                                                         ;
IC 4651                       ;Ara  ;17 24 54.0 -49 56 06.0;Op    ;OC   ;   28.80;   888; 0.120; 9.250;MWSC 2590, BH 224                                                                                                 ;
Dol-Dzim 8                    ;Her  ;17 25 58.8 +24 10 58.8;Op    ;OCR  ;   19.80;  2938; 0.190; 9.300;MWSC 2597                                                                                                         ;
ESO 392-13                    ;Sco  ;17 26 52.1 -34 40 58.8;Op    ;OC   ;   15.00;   816; 0.750; 7.950;MWSC 2598                                                                                                         ;
NGC 1252                      ;Hor  ;03 10 48.0 -57 45 36.0;Op    ;OCR  ;   30.00;   944; 0.000; 9.500;MWSC 260                                                                                                          ;Very sparse
Antalova 1                    ;Sco  ;17 28 56.9 -31 34 48.0;Op    ;OC   ;   28.20;   930; 0.430; 8.490;MWSC 2605                                                                                                         ;
Collinder 333                 ;Sco  ;17 31 37.2 -34 00 36.0;Op    ;OC   ;   15.60;  1051; 1.060; 8.150;MWSC 2618                                                                                                         ;
Trumpler 3                    ;Cas  ;03 12 12.5 +63 09 00  ;Op    ;OC   ;   56.40;   620; 0.220; 8.010;MWSC 262, Harvard 1                                                                                               ;
Trumpler 27                   ;Sco  ;17 36 21.6 -33 31 12.0;Op    ;OC   ;   30.00;  1266; 1.210; 7.580;MWSC 2639                                                                                                         ;
NGC 1245                      ;Per  ;03 14 48.0 +47 15 10.8;Op    ;OC   ;   44.40;  3000; 0.250; 9.030;MWSC 264                                                                                                          ;
Mamajek 2                     ;Oph  ;17 37 53.3 -08 05 06.0;Op    ;OC   ;   37.20;   174; 0.310; 8.100;MWSC 2650, Mu Oph Cl                                                                                              ;
Collinder 338                 ;Sco  ;17 38 12.0 -37 42 00.0;Op    ;OC   ;   33.00;   698; 0.250; 8.050;MWSC 2651                                                                                                         ;
ASCC 90                       ;Sco  ;17 39 07.2 -34 48 54.0;Op    ;OC   ;   36.60;   526; 0.300; 8.810;MWSC 2655, Alessi 41                                                                                              ;
Stock 23                      ;Cam  ;03 16 55.2 +60 00 54.0;Op    ;OCR? ;   33.60;   450; 0.200; 8.300;MWSC 266                                                                                                          ;Very sparse
NGC 6400                      ;Sco  ;17 40 12.0 -36 56 42.0;Op    ;OC   ;   22.80;   938; 0.200; 8.880;MWSC 2660                                                                                                         ;
NGC 6405                      ;Sco  ;17 40 19.2 -32 12 54.0;Op    ;OC   ;   54.00;   356; 0.140; 8.040;MWSC 2661, M 6                                                                                                    ;
NGC 6397                      ;Ara  ;17 40 42.2 -53 40 26.4;Op    ;GC   ;   48.60;  2301; 0.190;10.050;MWSC 2662                                                                                                         ;
